"ontology/deathPlace_label","ontology/birthYear"
"San Francisco | United States","1902"
"South Carolina | Greenville South Carolina","1914"
"Texas | Georgetown Texas","1923"
"Bavaria | Germany | Pullach","1912"
"Orlando Florida | Florida","1884"
"Minnesota | Minneapolis","1886"
"Tarrytown New York","1897"
"Woodstock New York","1873"
"Evanston Illinois","1894"
"Pima County Arizona | Ajo Arizona","1831"
"Germany | Munich","1928"
"Louisiana | Ruston Louisiana","1938"
"Germany | Munich","1928"
"California | San Francisco","1923"
"Austin Texas | Texas | Travis County Texas","1861"
"Louisiana | Baton Rouge Louisiana","1929"
"Amherst Massachusetts","1840"
"Toronto | Ontario","1839"
"Brisbane","1859"
"Alloa | Clackmannanshire","1873"
"New South Wales | Sydney | Australia","1863"
"Fort Lauderdale Florida","1866"
"Rhinebeck (town) New York | New York","1884"
"Brewster Massachusetts","1921"
"Jamaica","1931"
"Alexandria Virginia","1888"
"Germany | Munich","0001 | 1918"
"Vancouver | British Columbia","1899"
"United Kingdom | Fishguard | Wales | Pembrokeshire","1908"
"Kraków | Poland","1933"
"Chatham Massachusetts | Massachusetts | United States","1934"
"Arden North Carolina","1850"
"Munich","1929"
"Madrid","1943"
"Urbana Illinois","1874"
"Lausanne | Switzerland","1858"
"South Stoke Oxfordshire","1857"
"Colombia | Cauca Department | Buga Valle del Cauca","1825"
"London | United Kingdom | England","1872"
"Queens","1941"
"Virginia | Charlottesville Virginia | United States","1947"
"Nicaragua | Managua","1831"
"Christchurch","1939"
"Australia | Melbourne","1915"
"Alexandria Virginia","1912"
"New York City | United States","1941"
"London | United Kingdom | England","1937"
"Tel Aviv | Israel","1914"
"Stockholm | Sweden","1891"
"Rio de Janeiro","1898"
"Westport Connecticut","1866"
"Tel Aviv | Israel","1909"
"Houston | Texas | Harris County Texas","1919"
"Dar es Salaam | Zanzibar","1891"
"London | England","1829"
"Virginia | Williamsburg Virginia | United States","1921"
"Nanterre | France","1921"
"Delaware | Rehoboth Beach Delaware","1929"
"New York City | New York","1959"
"London","1920"
"Queensland | Sandgate Queensland","1841"
"Montreal","1863"
"Chile | Juan Fernández Islands","1979"
"Austria-Hungary | Vienna","1875"
"London","1948"
"Paris | France","1920"
"Paris | France","1954"
"Los Angeles","1928"
"Finland | Russian Empire | Punkaharju","1862 | 1863"
"Bihar | Motihari","1925"
"Oslo","1926"
"Italy | Lazio | Rome","1899"
"Hollywood","1892"
"Chile | Rancagua","1955"
"India | Madras Presidency","1860 | 1859"
"Guadalajara | Mexico | Jalisco","1905"
"Los Angeles | United States","1922"
"England","1938"
"Connecticut | Wilton Connecticut","1917"
"Muralto | Ticino","1888"
"Massachusetts","1943"
"Washington D.C.","1865"
"West Yorkshire | Leeds","1943"
"Canada | Sainte-Agathe-des-Monts | Quebec","1852"
"Kensington","1892"
"Russian Empire | Pavlovsk Saint Petersburg","1795"
"India | Delhi","1934"
"Kent | Pembury | England","1910"
"São Paulo","1882"
"North Carolina | Raleigh North Carolina","1910"
"New York City | New York","1835"
"Washington D.C.","1950"
"Athens | Greece","1850"
"Netherlands | South Holland | The Hague","1911"
"Wales | Dyfed | Capel Bangor","1900"
"New York City | New York","1903"
"Shawnee Oklahoma","1904"
"Rochester Vermont","1926"
"Luhačovice","1866"
"Guam | Tamuning Guam","1931"
"Oslo","1947"
"Norway | Oslo","1898"
"Aberystwyth | Wales | Ceredigion","1871"
"Great Neck New York","1877"
"Warsaw","1944"
"Saint Petersburg","1825"
"Tokyo","1935"
"São Paulo (state) | Empire of Brazil | São Paulo","1854"
"Windsor Ontario | Canada","1939"
"Damascus | Syria","1870"
"Italy | Rome","1903"
"Berlin | Germany","1933"
"Finland | Helsinki","1940"
"Perledo","1878"
"Bordeaux | France","1940"
"Sliema","1897"
"London | United Kingdom | England","1922"
"Washington D.C.","1851"
"Italy | Milan","1839"
"Texas | Dallas | United States","1919"
"Somalia | Mogadishu","1961"
"Moscow","1975"
"Philippines | Metro Manila | Quezon City","1944"
"Italy | Milan","1909"
"New Orleans","1926"
"Bonn","1899"
"Kaduna","1912"
"Amsterdam | Netherlands","1943"
"Lebanon | Beirut","1878"
"New York City | New York","1938"
"Örkelljunga | Sweden","1916"
"Stockholm | Sweden","1935"
"Brazil | São Paulo (state) | São Paulo","1938"
"Keokuk Iowa","1825"
"Dominican Republic","1944"
"Pennsylvania | Philadelphia","1902"
"Caracas","1927"
"Alabama | Madison County Alabama | Huntsville Alabama","1927"
"Orcas Island | Washington (state)","1934"
"France | Saint-Michel-de-Fronsac","1859"
"Pasadena California","1881"
"San Diego","1902"
"United States | New York","1880"
"Houston | Texas | United States","1921"
"Brazil | São Paulo (state) | Bananal São Paulo","1839"
"Madeira | Portugal","1837"
"Hong Kong","1901"
"Oxford | Oxfordshire | England","1930"
"Germany | Remagen","1891"
"Australian Capital Territory | Canberra | Mawson Australian Capital Territory","1942"
"Milwaukee","1831"
"Bucharest","1902"
"Oklahoma | Oklahoma City","1920"
"Spain | Madrid","1951"
"Williamsburg Virginia","1915"
"England","1935"
"France | Chourgnac","1927"
"Syracuse New York | New York","1904"
"France | Montreuil-le-Henri","1908"
"Camaiore | Tuscany","1887"
"Limeil-Brévannes | France","1905"
"Alpes-Maritimes | France","1972"
"Neptune Township New Jersey","1869"
