http://purl.org/dc/elements/1.1/description,http://www.georss.org/georss/point,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type_label,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso_label,http://www.w3.org/2002/07/owl#differentFrom,http://www.w3.org/2002/07/owl#differentFrom_label,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,ontology/activeYears,ontology/activeYearsEndDate,ontology/activeYearsEndYear,ontology/activeYearsStartDate,ontology/activeYearsStartYear,ontology/alias,ontology/allegiance,ontology/almaMater,ontology/almaMater_label,ontology/appointer,ontology/appointer_label,ontology/associate,ontology/associate_label,ontology/associatedBand,ontology/associatedBand_label,ontology/associatedMusicalArtist,ontology/associatedMusicalArtist_label,ontology/award,ontology/award_label,ontology/background,ontology/battle,ontology/battle_label,ontology/birthDate,ontology/birthName,ontology/birthPlace,ontology/birthPlace_label,ontology/birthYear,ontology/board,ontology/board_label,ontology/bodyDiscovered,ontology/bodyDiscovered_label,ontology/chancellor,ontology/chancellor_label,ontology/child,ontology/child_label,ontology/citizenship,ontology/citizenship_label,ontology/committee,ontology/country,ontology/country_label,ontology/creator,ontology/creator_label,ontology/deathCause,ontology/deathCause_label,ontology/deathDate,ontology/deathPlace,ontology/deathPlace_label,ontology/deathYear,ontology/deputy,ontology/deputy_label,ontology/education,ontology/education_label,ontology/electionMajority,ontology/employer,ontology/employer_label,ontology/ethnicity,ontology/ethnicity_label,ontology/firstAppearance,ontology/gender,ontology/gender_label,ontology/genre,ontology/genre_label,ontology/governor,ontology/governorGeneral,ontology/governorGeneral_label,ontology/governor_label,ontology/height,ontology/hometown,ontology/hometown_label,ontology/honours,ontology/honours_label,ontology/imdbId,ontology/influenced,ontology/influencedBy,ontology/influencedBy_label,ontology/influenced_label,ontology/instrument,ontology/instrument_label,ontology/knownFor,ontology/knownFor_label,ontology/language,ontology/language_label,ontology/lastAppearance,ontology/lastAppearance_label,ontology/lieutenant,ontology/lieutenant_label,ontology/militaryBranch,ontology/militaryBranch_label,ontology/militaryCommand,ontology/militaryRank,ontology/militaryRank_label,ontology/militaryUnit,ontology/militaryUnit_label,ontology/monarch,ontology/monarch_label,ontology/movement,ontology/movement_label,ontology/nationality,ontology/nationality_label,ontology/networth,ontology/notableWork,ontology/notableWork_label,ontology/occupation,ontology/occupation_label,ontology/office,ontology/opponent,ontology/opponent_label,ontology/orderInOffice,ontology/otherParty,ontology/otherParty_label,ontology/parent,ontology/parent_label,ontology/partner,ontology/partner_label,ontology/party,ontology/party_label,ontology/personFunction,ontology/personFunction_label,ontology/portfolio,ontology/portrayer,ontology/portrayer_label,ontology/predecessor,ontology/predecessor_label,ontology/president,ontology/president_label,ontology/primeMinister,ontology/primeMinister_label,ontology/profession,ontology/profession_label,ontology/pseudonym,ontology/race,ontology/raceHorse,ontology/raceHorse_label,ontology/race_label,ontology/recordLabel,ontology/recordLabel_label,ontology/region,ontology/region_label,ontology/relation,ontology/relation_label,ontology/relative,ontology/relative_label,ontology/religion,ontology/religion_label,ontology/residence,ontology/residence_label,ontology/restingPlace,ontology/restingPlacePosition,ontology/restingPlace_label,ontology/salary,ontology/school,ontology/school_label,ontology/seniority,ontology/series,ontology/series_label,ontology/serviceEndYear,ontology/serviceStartYear,ontology/signature,ontology/soundRecording,ontology/soundRecording_label,ontology/species,ontology/species_label,ontology/spouse,ontology/spouse_label,ontology/stateOfOrigin,ontology/stateOfOrigin_label,ontology/successor,ontology/successor_label,ontology/termPeriod,ontology/termPeriod_label,ontology/timeInSpace,ontology/title,ontology/type,ontology/type_label,ontology/viafId,ontology/vicePresident,ontology/vicePresident_label,ontology/voice,ontology/voice_label,ontology/weight,ontology/wins,title
Irish journalist,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://dbpedia.org/ontology/Writer | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent | http://www.wikidata.org/entity/Q36180,owl#Thing | person | writer | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent | Q36180,Quentin Fottrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975-11-28,,http://dbpedia.org/resource/Dublin | http://dbpedia.org/resource/Republic_of_Ireland,Dublin | Republic of Ireland,1975,,,,,,,,,,,,http://dbpedia.org/resource/Ireland,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Quentin_Fottrell__1 | http://dbpedia.org/resource/Author | http://dbpedia.org/resource/Journalist,Quentin_Fottrell__1 | Author | Journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quentin_Fottrell
,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Quentin Letts,,,,,,,,,,,,,,"http://dbpedia.org/resource/Haileybury_and_Imperial_Service_College | http://dbpedia.org/resource/Bellarmine_University | http://dbpedia.org/resource/Jesus_College,_Cambridge | http://dbpedia.org/resource/Trinity_College,_Dublin",Haileybury and Imperial Service College | Bellarmine University | Jesus College Cambridge | Trinity College Dublin,,,,,,,,,,,,,,1963-02-06,,,,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/United_Kingdom,United Kingdom,,,,http://dbpedia.org/resource/Quentin_Letts__1 | http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Theatre_criticism,Quentin_Letts__1 | Journalist | Theatre criticism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/United_Kingdom,United Kingdom,,,,,,,,,,,,,,,,Quentin_Letts
,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Quentin Reynolds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1902-04-11,Quentin James Reynolds,http://dbpedia.org/resource/United_States | http://dbpedia.org/resource/New_York,United States | New York,1902,,,,,,,,,,,,,,,,,,1965-03-17,http://dbpedia.org/resource/San_Francisco | http://dbpedia.org/resource/United_States,San Francisco | United States,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/United_States,United States,,,,http://dbpedia.org/resource/Quentin_Reynolds__1 | http://dbpedia.org/resource/Journalist,Quentin_Reynolds__1 | Journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/United_States,United States,,,,,,,,,,,,,,,,Quentin_Reynolds
,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://dbpedia.org/ontology/Artist | http://dbpedia.org/ontology/MusicalArtist | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent | http://schema.org/MusicGroup | http://www.wikidata.org/entity/Q483501,owl#Thing | person | artist | musical artist | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent | MusicGroup | Q483501,Questlove,http://dbpedia.org/resource/Soulquarians,Soulquarians,,,,,,,,,1987,,,,,,,,,http://dbpedia.org/resource/D'Angelo | http://dbpedia.org/resource/Erykah_Badu | http://dbpedia.org/resource/The_Roots | http://dbpedia.org/resource/John_Mayer | http://dbpedia.org/resource/Soulquarians | http://dbpedia.org/resource/The_Philadelphia_Experiment_(album) | http://dbpedia.org/resource/J_Dilla,D'Angelo | Erykah Badu | The Roots | John Mayer | Soulquarians | The Philadelphia Experiment (album) | J Dilla,http://dbpedia.org/resource/D'Angelo | http://dbpedia.org/resource/Erykah_Badu | http://dbpedia.org/resource/The_Roots | http://dbpedia.org/resource/John_Mayer | http://dbpedia.org/resource/Soulquarians | http://dbpedia.org/resource/The_Philadelphia_Experiment_(album) | http://dbpedia.org/resource/J_Dilla,D'Angelo | Erykah Badu | The Roots | John Mayer | Soulquarians | The Philadelphia Experiment (album) | J Dilla,,,non_vocal_instrumentalist,,,1971-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Neo_soul | http://dbpedia.org/resource/Hip_hop_music | http://dbpedia.org/resource/Alternative_hip_hop,Neo soul | Hip hop music | Alternative hip hop,,,,,,http://dbpedia.org/resource/Pennsylvania | http://dbpedia.org/resource/Philadelphia,Pennsylvania | Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Disc_jockey | http://dbpedia.org/resource/Drummer | http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Record_producer | http://dbpedia.org/resource/Multi-instrumentalist,Disc jockey | Drummer | Journalist | Record producer | Multi-instrumentalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Def_Jam_Recordings | http://dbpedia.org/resource/Okayplayer,Def Jam Recordings | Okayplayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Questlove
American journalist,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Quincy Howe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900-08-17,,,,1900,,,,,,,,,,,,,,,,,,1977-02-17,,,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Quincy_Howe__1 | http://dbpedia.org/resource/Journalist,Quincy_Howe__1 | Journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quincy_Howe
,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://dbpedia.org/ontology/Writer | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent | http://www.wikidata.org/entity/Q36180,owl#Thing | person | writer | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent | Q36180,Quincy Troupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1939-07-22,Quincy Thomas Troupe Jr.,http://dbpedia.org/resource/St._Louis,St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Editing | http://dbpedia.org/resource/Emeritus | http://dbpedia.org/resource/Poet,Journalist | Editing | Emeritus | Poet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quincy_Troupe
,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,W. D. Workman Jr.,,,,,,,,,,,,,,"http://dbpedia.org/resource/The_Citadel,_The_Military_College_of_South_Carolina",The Citadel The Military College of South Carolina,,,,,,,,,,,,,,1914-08-10,William Douglas Workman Jr.,"http://dbpedia.org/resource/South_Carolina | http://dbpedia.org/resource/Greenwood,_South_Carolina",South Carolina | Greenwood South Carolina,1914,,,,,,,http://dbpedia.org/resource/Bill_Workman,Bill Workman,,,,,,,,http://dbpedia.org/resource/Parkinson's_disease,Parkinson's disease,1990-11-23,"http://dbpedia.org/resource/South_Carolina | http://dbpedia.org/resource/Greenville,_South_Carolina",South Carolina | Greenville South Carolina,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dbpedia.org/resource/The_State_(newspaper) | http://dbpedia.org/resource/W._D._Workman,_Jr.__1 | http://dbpedia.org/resource/W._D._Workman,_Jr.__2 | http://dbpedia.org/resource/W._D._Workman,_Jr.__3 | http://dbpedia.org/resource/The_Post_and_Courier | http://dbpedia.org/resource/Journalist",The State (newspaper) | W._D._Workman_Jr.__1 | W._D._Workman_Jr.__2 | W._D._Workman_Jr.__3 | The Post and Courier | Journalist,,,,,,,,,,,http://dbpedia.org/resource/Republican_Party_(United_States),Republican Party (United States),,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Southern_Baptist_Convention,Southern Baptist Convention,"http://dbpedia.org/resource/South_Carolina | http://dbpedia.org/resource/Charleston,_South_Carolina",South Carolina | Charleston South Carolina,"http://dbpedia.org/resource/Columbia,_South_Carolina",,Columbia South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"W._D._Workman,_Jr."
American politician and businessman,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://dbpedia.org/ontology/OfficeHolder | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | office holder | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,W. E. Pete Snelson,,,,,,,,,,,,Pete Snelson,,http://dbpedia.org/resource/Northwestern_University | http://dbpedia.org/resource/University_of_Texas_at_El_Paso | http://dbpedia.org/resource/Grandfalls-Royalty_High_School,Northwestern University | University of Texas at El Paso | Grandfalls-Royalty High School,,,,,,,,,,,,http://dbpedia.org/resource/World_War_II | http://dbpedia.org/resource/Battle_of_Cherbourg,World War II | Battle of Cherbourg,1923-03-28,,"http://dbpedia.org/resource/Texas | http://dbpedia.org/resource/Grandfalls,_Texas",Texas | Grandfalls Texas,1923,,,,,,,,,,,,,,,,,,2014-04-26,"http://dbpedia.org/resource/Texas | http://dbpedia.org/resource/Georgetown,_Texas",Texas | Georgetown Texas,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/United_States_Army,United States Army,,,,,,,,,,,,,,,http://dbpedia.org/resource/Business | http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Oil,Business | Journalist | Oil,Texas State Senator from District 25 | Texas State Senator from District 29 | Texas State Representative from District 102,,,,,,,,,,http://dbpedia.org/resource/Democratic_Party_(United_States),Democratic Party (United States),,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Presbyterian_Church_in_the_United_States,Presbyterian Church in the United States,"http://dbpedia.org/resource/Austin,_Texas | http://dbpedia.org/resource/Texas | http://dbpedia.org/resource/Georgetown,_Texas | http://dbpedia.org/resource/Midland,_Texas",Austin Texas | Texas | Georgetown Texas | Midland Texas,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/W._E._%22Pete%22_Snelson__1 | http://dbpedia.org/resource/W._E._%22Pete%22_Snelson__2 | http://dbpedia.org/resource/W._E._%22Pete%22_Snelson__3,W._E._%22Pete%22_Snelson__1 | W._E._%22Pete%22_Snelson__2 | W._E._%22Pete%22_Snelson__3,,,,,,,,,,,,W._E._%22Pete%22_Snelson
Ugandan politician,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Wafula Oguttu,,,,,,,,,,,1987,Phillip,,http://dbpedia.org/resource/Peking_University | http://dbpedia.org/resource/Cardiff_University | http://dbpedia.org/resource/Beijing_Language_and_Culture_University | http://dbpedia.org/resource/University_of_Dar_es_Salaam,Peking University | Cardiff University | Beijing Language and Culture University | University of Dar es Salaam,,,,,,,,,,,,,,1952-12-21,Phillip Wafula Oguttu,http://dbpedia.org/resource/Butaleja | http://dbpedia.org/resource/Uganda,Butaleja | Uganda,1952,,,,,,,,,http://dbpedia.org/resource/Uganda,Uganda,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Busoga | http://dbpedia.org/resource/Samia_tribe_(Luhya),Busoga | Samia tribe (Luhya),,,,,,,,,,,http://dbpedia.org/resource/Bugiri,Bugiri,,,,,,,,,,http://dbpedia.org/resource/Journalism | http://dbpedia.org/resource/Politics,Journalism | Politics,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Uganda,Uganda,,,,http://dbpedia.org/resource/Wafula_Oguttu__1 | http://dbpedia.org/resource/Journalist,Wafula_Oguttu__1 | Journalist,,,,,,,,,,,,,http://dbpedia.org/resource/Wafula_Oguttu__2 | http://dbpedia.org/resource/Wafula_Oguttu__3 | http://dbpedia.org/resource/Wafula_Oguttu__4 | http://dbpedia.org/resource/Wafula_Oguttu__5,Wafula_Oguttu__2 | Wafula_Oguttu__3 | Wafula_Oguttu__4 | Wafula_Oguttu__5,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Catholic_Church,Catholic Church,http://dbpedia.org/resource/Kampala | http://dbpedia.org/resource/Uganda,Kampala | Uganda,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Uganda,Uganda,,,,,,Bugiri District | Parliament of Uganda | Leader of Opposition | MP for Bukooli Central,,,,,,,,,,Wafula_Oguttu
,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Wajahat Saeed Khan,,,,,,,,,,,,,,http://dbpedia.org/resource/University_of_Michigan | http://dbpedia.org/resource/Harvard_University,University of Michigan | Harvard University,,,,,,,,,,,,,,,Wajahat Saeed Khan,http://dbpedia.org/resource/Pakistan | http://dbpedia.org/resource/Quetta | http://dbpedia.org/resource/Balochistan,Pakistan | Quetta | Balochistan,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Wajahat_Saeed_Khan__1 | http://dbpedia.org/resource/Journalist,Wajahat_Saeed_Khan__1 | Journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wajahat_Saeed_Khan
