person,personLabel,dob,dod,citizenshipLabel,placeOfDeathLabel,mannerOfDeathLabel,causeOfDeathLabel,killerLabel
http://www.wikidata.org/entity/Q137273761,Q137273761,1901-01-01T00:00:00Z,2025-12-06T00:00:00Z,Peru,,,homicide by firearm,
http://www.wikidata.org/entity/Q123738450,Saleh al-Jafarawi,1997-11-22T00:00:00Z,2025-10-12T00:00:00Z,Palestine,"Sabra, Gaza",,gunshot wound,
http://www.wikidata.org/entity/Q30121972,Charlie Kirk,1993-10-14T00:00:00Z,2025-09-10T00:00:00Z,United States,Timpanogos Regional Hospital,,shot to the neck,Tyler James Robinson
http://www.wikidata.org/entity/Q6127529,Jamal Amer,1968-07-23T00:00:00Z,2025-08-28T00:00:00Z,Yemen,Sanaa,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q135972543,Mariam Dagga,1992-01-01T00:00:00Z,2025-08-25T00:00:00Z,Palestine,Khan Yunis,,bombardment,
http://www.wikidata.org/entity/Q135972981,Hussam al-Masri,1976-02-23T00:00:00Z,2025-08-25T00:00:00Z,Palestine,Khan Yunis,,,
http://www.wikidata.org/entity/Q135972543,Mariam Dagga,1992-01-01T00:00:00Z,2025-08-25T00:00:00Z,Palestine,Khan Yunis,,bombardment,
http://www.wikidata.org/entity/Q135689154,Mohammed Qraiqea,1992-03-15T00:00:00Z,2025-08-10T00:00:00Z,Palestine,Gaza City,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123751521,Anas Al Sharif,1996-12-03T00:00:00Z,2025-08-10T00:00:00Z,Palestine,Gaza City,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q123751521,Anas Al Sharif,1996-12-03T00:00:00Z,2025-08-10T00:00:00Z,Palestine,Gaza City,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q135689154,Mohammed Qraiqea,1992-03-15T00:00:00Z,2025-08-10T00:00:00Z,Palestine,Gaza City,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q133893010,Fatima Hassouna,2000-03-02T00:00:00Z,2025-04-16T00:00:00Z,Palestine,Gaza City,,airstrike,Israeli Air Force
http://www.wikidata.org/entity/Q120138160,Salwan Momika,1986-06-23T00:00:00Z,2025-01-29T00:00:00Z,Iraq,Hovsjö,,gunshot wound,
http://www.wikidata.org/entity/Q16156832,Amun Abdullahi,1974-10-23T00:00:00Z,2024-10-19T00:00:00Z,Sweden,Lower Shebelle,,gunshot wound,
http://www.wikidata.org/entity/Q16156832,Amun Abdullahi,1974-10-23T00:00:00Z,2024-10-19T00:00:00Z,Somalia,Lower Shebelle,,gunshot wound,
http://www.wikidata.org/entity/Q111696352,Paul Lowe,1963-06-11T00:00:00Z,2024-10-12T00:00:00Z,United Kingdom,Mount Baldy,,stabbing,
